band,freq_range,mean,std,min,max,median,q25,q75
sub,20-80Hz,0.004064278275207059,0.012897345977560004,3.2819352058925746e-07,0.20846617813881538,0.0003863555774848036,8.879059244198872e-05,0.001921895786610855
low,80-250Hz,0.020603915247726874,0.08294068668999165,1.909801906025912e-07,0.9658106500286996,0.0006908605621992151,0.00015406296711198045,0.0035656131698677956
mid,250-2000Hz,0.301985597260818,0.3056921322128401,2.955810214716375e-06,0.9986744312525662,0.1900249735525248,0.011132536326493844,0.5526313831557522
high,2000-6000Hz,0.4554701074032748,0.2963114751559854,0.001032914406330121,0.999911093586187,0.42157953245291646,0.1972111408476544,0.6692427521611376
presence,6000-20000Hz,0.21759828412970278,0.27498119997366627,2.596773341800021e-05,0.9823115698276387,0.07778511262000996,0.015709445725239086,0.33809948877615975
